Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,B,33,R,1,56,61,501_M0111_B_033R_1_WR:56-61_1,IWSQ3,127.26,9.01,,7.27,4.83,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_033R_1_WR:56-61_1,12,127.26,clay ,slight,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,34,R,1,92,97,501_M0111_B_034R_1_WR:92-97_1,IWSQ1,122.44,10.39,,7.09,4.71,,152.900,11.721,0.227,0.037,393.617,0.211,2.230,3.080,2.132,11.527,9.280,0.218,0.354,157.068,0.375,2.163,11.956,202.741,19.505,,501_M0111_B_034R_1_WR:92-97_1,13.5,122.44,clay ,,"coherent above, looks little bit sandier",,compacted (not hard) clay,,,,,,,,
501,M0111,B,36,R,1,93,100,501_M0111_B_036R_1_WR:93-100_1,IWSQ2,126.5,9.37,0.17,7.21,5.65,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_036R_1_WR:93-100_1,15,126.5,clay ,none,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,37,R,1,70,75,501_M0111_B_037R_1_WR:70-75_1,IWRH3,128.34,10.39,,7.37,5.31,,146.461,8.583,0.213,,,,,,,,,,,,,,,,,,501_M0111_B_037R_1_WR:70-75_1,23,128.34,very fine sand,slight,"lamination of fine sands and clay, between the 2 Rhizonspots open cut",,laminations of sand and mud,,,,Y,,Y,Y,
501,M0111,B,38,R,1,144,150,501_M0111_B_038R_1_WR:144-150_1,IWSQ1,130.83,8.89,,7.45,5.37,,142.773,7.373,0.218,,,,,,,,,,,,,,,,,,501_M0111_B_038R_1_WR:144-150_1,5,130.83,clay,none,coherent clay above and below,,compacted (not hard) clay with granules,,,,,,,,
501,M0111,B,39,R,1,142,149,501_M0111_B_039R_1_WR:142-149_1,IWSQ2,133.09,7.97,0.17,7.28,4.83,0.000,132.964,5.563,0.191,,,,,,,,,,,,,,,,,,501_M0111_B_039R_1_WR:142-149_1,7,133.09,fine sand/mud,none,coherent clay above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,40,R,1,90,95,501_M0111_B_040R_1_WR:90-95_1,IWRH3,135.62,31.04,,7.16,3.24,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_040R_1_WR:90-95_1,10,135.62,sand,slight,"Not Full, shrunken sand",,"sand, highly disturbed (90cm)",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,41,R,1,120,125,501_M0111_B_041R_1_WR:120-125_1,IWRH1,138.97,9.84,0.17,7.58,4.75,,116.681,3.690,0.173,1.371,327.567,0.124,1.609,0.609,2.670,5.476,5.952,0.182,0.083,116.616,0.596,0.000,4.148,102.634,15.556,,501_M0111_B_041R_1_WR:120-125_1,15,138.97,course sand,slight,"channel in center of core?, water",,"sand, blocky",water in the liner,Y,,Y,Y,,YY,"According to Log-sheet, SQC1(145-150) and IWSQ1(120-125) have same ID (IW-GWQ1)"
501,M0111,B,43,R,1,55,60,501_M0111_B_043R_1_WR:55-60_1,IWRH2,144.42,10.54,,7.34,4.57,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_043R_1_WR:55-60_1,10,144.42,sand,slight,"gravel, irregular, not full on one side, water",,"sand, disturbed","not full, water in the liner",Y,,Y,Y,,YY,
501,M0111,B,44,R,1,130,135,501_M0111_B_044R_1_WR:130-135_1,IWRH3,147.41,18.75,,7.27,4.08,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_044R_1_WR:130-135_1,15,147.41,med sand,slight,"Not Full, water",,very coarse sand,"gaps between liner and sediment, water",Y,,"Y, Y?",Y,,YY,"According to core imade, there is no water and gaps, but the very coarse sand sections are easily contamintaed."
501,M0111,B,46,R,1,145,150,501_M0111_B_046R_1_WR:145-150_1,IWSQ1,150.99,6.72,0.08,7.28,6.32,,108.804,4.233,0.161,,,,,,,,,,,,,,,,,,501_M0111_B_046R_1_WR:145-150_1,2,150.99,silt,slight,coherent mud above and below,,compacted (not hard) silt,,,,,,,,
501,M0111,B,47,R,1,130,135,501_M0111_B_047R_1_WR:130-135_1,IWRH2,153.51,4.86,,,,,78.751,2.790,0.120,4.225,391.582,0.000,0.851,0.806,1.814,7.349,3.312,0.218,0.000,84.689,0.000,1.324,3.269,98.647,7.247,,501_M0111_B_047R_1_WR:130-135_1,2,153.51,coarse sand,none,"structureless, coherent to sides?",,coarse sand,,,,Y?,,Y,Y,
501,M0111,B,48,R,1,25,30,501_M0111_B_048R_1_WR:25-30_1,IWRH3,155.51,5.41,0.09,8.10,5.65,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_048R_1_WR:25-30_1,8,155.51,coarse,,crack at 21? No structure,,coarse sand,,,,Y?,,Y,Y,
501,M0111,B,51,R,1,35,40,501_M0111_B_051R_1_WR:35-40_1,IWRHx,161.71,29.18,0.00,7.78,2.77,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_051R_1_WR:35-40_1,20,161.71,coarse sand,slight,"some pitting, irregular surface, watery",,coarse sand,water in the liner,Y,,Y,Y,,YY,
501,M0111,B,54,R,1,10,15,501_M0111_B_054R_1_WR:10-15_1,IWRH1,165.56,29.73,,7.63,3.14,,460.797,23.130,0.686,,,,,,,,,,,,,,,,,,501_M0111_B_054R_1_WR:10-15_1,20,165.56,sand,slight,"huge crack, water",,"coarse sand, disturbed","gaps between liner and sediment, water",Y,,Y,Y,,YY,
